gatewayType,class,exchange,symbolPattern,name,commission,commissionInBP
CTP,FUTURES,DCE,"pp[0-9]{3,4}@.+",PP,1,
CTP,FUTURES,CZCE,"LR[0-9]{3,4}@.+",晚稻,3,
CTP,FUTURES,CZCE,"MA[0-9]{3,4}@.+",甲醇,2,
CTP,FUTURES,CFFEX,"IC[0-9]{3,4}@.+",IC股指,,0.23
CTP,FUTURES,CZCE,"UR[0-9]{3,4}@.+",尿素,5,
CTP,FUTURES,CFFEX,"IF[0-9]{3,4}@.+",IF股指,,0.23
CTP,FUTURES,CFFEX,"IH[0-9]{3,4}@.+",IH股指,,0.23
CTP,FUTURES,DCE,"eg[0-9]{3,4}@.+",乙醇,3,
CTP,FUTURES,SHFE,"ag[0-9]{3,4}@.+",白银,,0.1
CTP,FUTURES,CZCE,"ZC[0-9]{3,4}@.+",动力煤,30,
CTP,FUTURES,SHFE,"al[0-9]{3,4}@.+",沪铝,3,
CTP,FUTURES,CZCE,"AP[0-9]{3,4}@.+",苹果,5,
CTP,FUTURES,SHFE,"rb[0-9]{3,4}@.+",螺纹钢,,1
CTP,FUTURES,SHFE,"zn[0-9]{3,4}@.+",沪锌,3,
CTP,FUTURES,SHFE,"au[0-9]{3,4}@.+",黄金,2,
CTP,FUTURES,CZCE,"RI[0-9]{3,4}@.+",早稻,2.5,
CTP,FUTURES,DCE,"jd[0-9]{3,4}@.+",鸡蛋,,1.5
CTP,FUTURES,SHFE,"ni[0-9]{3,4}@.+",沪镍,3,
CTP,FUTURES,CZCE,"RM[0-9]{3,4}@.+",菜粕,1.5,
CTP,FUTURES,DCE,"fb[0-9]{3,4}@.+",纤板,,1
CTP,FUTURES,DCE,"bb[0-9]{3,4}@.+",胶板,,1
CTP,FUTURES,CZCE,"RS[0-9]{3,4}@.+",油菜籽,2,
CTP,FUTURES,CZCE,"FG[0-9]{3,4}@.+",玻璃,6,
CTP,FUTURES,SHFE,"ru[0-9]{3,4}@.+",橡胶,3,
CTP,FUTURES,DCE,"jm[0-9]{3,4}@.+",焦煤,,1
CTP,FUTURES,CZCE,"JR[0-9]{3,4}@.+",粳稻,3,
CTP,FUTURES,SHFE,"fu[0-9]{3,4}@.+",燃料油,,0.1
CTP,FUTURES,INE,"sc[0-9]{3,4}@.+",原油,20,
CTP,FUTURES,CZCE,"WH[0-9]{3,4}@.+",强筋麦,5,
CTP,FUTURES,CZCE,"SF[0-9]{3,4}@.+",硅铁,3,
CTP,FUTURES,SHFE,"bu[0-9]{3,4}@.+",沥青,,1
CTP,FUTURES,CFFEX,"T[0-9]{3,4}@.+",十债,3,
CTP,FUTURES,CZCE,"SM[0-9]{3,4}@.+",锰硅,3,
CTP,FUTURES,CZCE,"OI[0-9]{3,4}@.+",菜籽油,2,
CTP,FUTURES,SHFE,"wr[0-9]{3,4}@.+",线材,,0.4
CTP,FUTURES,SHFE,"sn[0-9]{3,4}@.+",沪锡,3,
CTP,FUTURES,SHFE,"sp[0-9]{3,4}@.+",漂针浆,,0.5
CTP,FUTURES,CZCE,"SR[0-9]{3,4}@.+",白糖,3,
CTP,FUTURES,DCE,"a[0-9]{3,4}@.+",豆一,2,
CTP,FUTURES,DCE,"b[0-9]{3,4}@.+",豆二,1,
CTP,FUTURES,CZCE,"CF[0-9]{3,4}@.+",棉花,4.3,
CTP,FUTURES,DCE,"c[0-9]{3,4}@.+",玉米,1.2,
CTP,FUTURES,DCE,"i[0-9]{3,4}@.+",铁矿石,,1
CTP,FUTURES,DCE,"j[0-9]{3,4}@.+",焦炭,,1
CTP,FUTURES,DCE,"l[0-9]{3,4}@.+",聚乙烯,1,
CTP,FUTURES,CZCE,"TA[0-9]{3,4}@.+",化纤,3,
CTP,FUTURES,DCE,"m[0-9]{3,4}@.+",豆粕,1.5,
CTP,FUTURES,DCE,"cs[0-9]{3,4}@.+",淀粉,1.5,
CTP,FUTURES,DCE,"p[0-9]{3,4}@.+",棕榈油,2.5,
CTP,FUTURES,SHFE,"cu[0-9]{3,4}@.+",沪铜,,0.5
CTP,FUTURES,CFFEX,"TF[0-9]{3,4}@.+",五债,3,
CTP,FUTURES,SHFE,"pb[0-9]{3,4}@.+",沪铅,,0.4
CTP,FUTURES,DCE,"v[0-9]{3,4}@.+",聚氯乙烯,1,
CTP,FUTURES,CZCE,"CY[0-9]{3,4}@.+",棉纱,4,
CTP,FUTURES,DCE,"pg[0-9]{3,4}@.+",液化气,6,
CTP,FUTURES,DCE,"y[0-9]{3,4}@.+",豆油,2.5,
CTP,FUTURES,SHFE,"hc[0-9]{3,4}@.+",热轧板,,1
CTP,FUTURES,CZCE,"PM[0-9]{3,4}@.+",普麦,5,
CTP,FUTURES,CFFEX,"TS[0-9]{3,4}@.+",二债,3,
CTP,FUTURES,CZCE,"CJ[0-9]{3,4}@.+",红枣,3,
CTP,FUTURES,DCE,"eb[0-9]{3,4}@.+",苯乙烯,3,
CTP,FUTURES,DCE,"lh[0-9]{3,4}@.+",生猪,,2
CTP,FUTURES,CZCE,"PF[0-9]{3,4}@.+",短纤,3,
CTP,FUTURES,CZCE,"PK[0-9]{3,4}@.+",花生,4,
CTP,FUTURES,CZCE,"SA[0-9]{3,4}@.+",纯碱,3.5,
CTP,FUTURES,DCE,"rr[0-9]{3,4}@.+",粳米,1,
CTP,FUTURES,INE,"bc[0-9]{3,4}@.+",国际铜,,0.1
CTP,FUTURES,INE,"lu[0-9]{3,4}@.+",燃油,,0.1
CTP,FUTURES,INE,"nr[0-9]{3,4}@.+",20号胶,,0.2
CTP,FUTURES,SHFE,"ss[0-9]{3,4}@.+",不锈钢,2,
CTP,OPTION,DCE,"pp[0-9]{3,4}[^@].+",PP,0.5,
CTP,OPTION,CZCE,"MA[0-9]{3,4}[^@].+",甲醇,0.5,
CTP,OPTION,CFFEX,"IF[0-9]{3,4}[^@].+",IF股指,,
CTP,OPTION,CZCE,"ZC[0-9]{3,4}[^@].+",动力煤,1.5,
CTP,OPTION,SHFE,"al[0-9]{3,4}[^@].+",沪铝,1.5,
CTP,OPTION,SHFE,"zn[0-9]{3,4}[^@].+",沪锌,1.5,
CTP,OPTION,SHFE,"au[0-9]{3,4}[^@].+",黄金,2,
CTP,OPTION,CZCE,"RM[0-9]{3,4}[^@].+",菜粕,0.8,
CTP,OPTION,SHFE,"ru[0-9]{3,4}[^@].+",橡胶,3,
CTP,OPTION,INE,"sc[0-9]{3,4}[^@].+",原油,,
CTP,OPTION,CZCE,"SR[0-9]{3,4}[^@].+",白糖,1.5,
CTP,OPTION,CZCE,"CF[0-9]{3,4}[^@].+",棉花,1.5,
CTP,OPTION,DCE,"c[0-9]{3,4}[^@].+",玉米,0.6,
CTP,OPTION,DCE,"i[0-9]{3,4}[^@].+",铁矿石,2,
CTP,OPTION,DCE,"l[0-9]{3,4}[^@].+",聚乙烯,0.5,
CTP,OPTION,CZCE,"TA[0-9]{3,4}[^@].+",化纤,0.5,
CTP,OPTION,DCE,"m[0-9]{3,4}[^@].+",豆粕,1,
CTP,OPTION,DCE,"p[0-9]{3,4}[^@].+",棕榈油,0.5,
CTP,OPTION,SHFE,"cu[0-9]{3,4}[^@].+",沪铜,5,
CTP,OPTION,DCE,"v[0-9]{3,4}[^@].+",聚氯乙烯,0.5,
CTP,OPTION,DCE,"pg[0-9]{3,4}[^@].+",液化气,1,
SIM,FUTURES,SHFE,"sim[0-9]{3,4}@.+",模拟合约,6,
